Variables,Descripción,Modelo en el Pasado,Modelo Comportamiento,Modelo Nuevos Clientes
VAR26_prom,Variable VAR26_prom, ,✓, 
VAR26_trx,Variable VAR26_trx, ,✓, 
VAR27_sum,Variable VAR27_sum, ,✓, 
VAR27_prom,Variable VAR27_prom, ,✓, 
VAR27_trx,Variable VAR27_trx, ,✓, 
VAR28_sum,Variable VAR28_sum, ,✓, 
VAR28_prom,Variable VAR28_prom, ,✓, 
VAR28_trx,Variable VAR28_trx, ,✓, 
VAR29_prom,Variable VAR29_prom, ,✓, 
VAR29_ratio,Variable VAR29_ratio, ,✓, 
VAR30_sum,Variable VAR30_sum, ,✓, 
tipo_seg_prod_0,Variable tipo segmento 0 binarizado, ,✓, 
tipo_seg_prod_1,Variable tipo segmento 1 binarizado, ,✓, 
tipo_seg_prod_2,Variable tipo segmento 2 binarizado, ,✓, 
tipo_seg_prod_3,Variable tipo segmento 3 binarizado, ,✓, 
tipo_seg_and_tipo_ban,"Combinacion de Variable categóricas: tipo_ban, tipo_seg", ,✓, 
tipo_ban_group,Combinacion de Variable categóricas: tipo_ban, ,✓, 
ratio_VAR1_sum_trx,Ratio entre VAR1_sum y trx en el último mes, ,✓, 
ratio_VAR3_sum_trx,Ratio entre VAR3_sum y trx en el último mes, ,✓, 
ratio_VAR4_sum_trx,Ratio entre VAR4_sum y trx en el último mes, ,✓, 
ratio_VAR23_sum_trx,Ratio entre VAR23_sum y trx en el último mes, ,✓, 
ratio_VAR1_sum_prom,Ratio entre VAR1_sum y prom en el último mes, ,✓, 
ratio_VAR3_sum_prom,Ratio entre VAR3_sum y prom en el último mes, ,✓, 
ratio_VAR4_sum_prom,Ratio entre VAR4_sum y prom en el último mes, ,✓, 
ratio_VAR24_sum_prom,Ratio entre VAR24_sum y prom en el último mes, ,✓, 
ratio_VAR23_sum_prom,Ratio entre VAR23_sum y prom en el último mes, ,✓, 
mean_VAR1_sum_3M,Media de VAR1_sum en el último mes, ,✓, 
max_VAR1_sum_3M,Maximo valor de VAR1_sum en el último mes, ,✓, 
min_VAR5_sum_3M,Minimo valor de VAR5_sum en el último mes, ,✓, 
max_VAR3_sum_3M,Maximo valor de VAR3_sum en el último mes, ,✓, 
max_VAR25_sum_3M,Maximo valor de VAR25_sum en el último mes, ,✓, 
min_VAR24_sum_3M,Minimo valor de VAR24_sum en el último mes, ,✓, 
max_VAR24_sum_3M,Maximo valor de VAR24_sum en el último mes, ,✓, 
mean_VAR16_sum_3M,Media de VAR16_sum en el último mes, ,✓, 
min_VAR16_sum_3M,Minimo valor de VAR16_sum en el último mes, ,✓, 
mean_VAR12_sum_3M,Media de VAR12_sum en el último mes, ,✓, 
min_VAR12_sum_3M,Minimo valor de VAR12_sum en el último mes, ,✓, 
max_VAR12_sum_3M,Maximo valor de VAR12_sum en el último mes, ,✓, 
mean_VAR1_sum_6M,Media de VAR1_sum en el último mes, ,✓, 
max_VAR1_sum_6M,Maximo valor de VAR1_sum en el último mes, ,✓, 
mean_VAR23_sum_6M,Media de VAR23_sum en el último mes, ,✓, 
min_VAR23_sum_6M,Minimo valor de VAR23_sum en el último mes, ,✓, 
min_VAR5_sum_6M,Minimo valor de VAR5_sum en el último mes, ,✓, 
min_VAR3_sum_6M,Minimo valor de VAR3_sum en el último mes, ,✓, 
max_VAR3_sum_6M,Maximo valor de VAR3_sum en el último mes, ,✓, 
min_VAR25_sum_6M,Minimo valor de VAR25_sum en el último mes, ,✓, 
max_VAR25_sum_6M,Maximo valor de VAR25_sum en el último mes, ,✓, 
mean_VAR24_sum_6M,Media de VAR24_sum en el último mes, ,✓, 
min_VAR24_sum_6M,Minimo valor de VAR24_sum en el último mes, ,✓, 
max_VAR24_sum_6M,Maximo valor de VAR24_sum en el último mes, ,✓, 
mean_VAR16_sum_6M,Media de VAR16_sum en el último mes, ,✓, 
min_VAR16_sum_6M,Minimo valor de VAR16_sum en el último mes, ,✓, 
mean_VAR12_sum_6M,Media de VAR12_sum en el último mes, ,✓, 
min_VAR12_sum_6M,Minimo valor de VAR12_sum en el último mes, ,✓, 
max_VAR12_sum_6M,Maximo valor de VAR12_sum en el último mes, ,✓, 
mean_VAR1_sum_9M,Media de VAR1_sum en el último mes, ,✓, 
min_VAR1_sum_9M,Minimo valor de VAR1_sum en el último mes, ,✓, 
max_VAR1_sum_9M,Maximo valor de VAR1_sum en el último mes, ,✓, 
mean_VAR23_sum_9M,Media de VAR23_sum en el último mes, ,✓, 
min_VAR23_sum_9M,Minimo valor de VAR23_sum en el último mes, ,✓, 
min_VAR5_sum_9M,Minimo valor de VAR5_sum en el último mes, ,✓, 
max_VAR5_sum_9M,Maximo valor de VAR5_sum en el último mes, ,✓, 
min_VAR3_sum_9M,Minimo valor de VAR3_sum en el último mes, ,✓, 
max_VAR3_sum_9M,Maximo valor de VAR3_sum en el último mes, ,✓, 
min_VAR25_sum_9M,Minimo valor de VAR25_sum en el último mes, ,✓, 
max_VAR25_sum_9M,Maximo valor de VAR25_sum en el último mes, ,✓, 
mean_VAR24_sum_9M,Media de VAR24_sum en el último mes, ,✓, 
min_VAR24_sum_9M,Minimo valor de VAR24_sum en el último mes, ,✓, 
max_VAR24_sum_9M,Maximo valor de VAR24_sum en el último mes, ,✓, 
mean_VAR16_sum_9M,Media de VAR16_sum en el último mes, ,✓, 
min_VAR16_sum_9M,Minimo valor de VAR16_sum en el último mes, ,✓, 
mean_VAR12_sum_9M,Media de VAR12_sum en el último mes, ,✓, 
min_VAR12_sum_9M,Minimo valor de VAR12_sum en el último mes, ,✓, 
mean_VAR1_sum_12M,Media de VAR1_sum en el último mes, ,✓, 
max_VAR1_sum_12M,Maximo valor de VAR1_sum en el último mes, ,✓, 
min_VAR23_sum_12M,Minimo valor de VAR23_sum en el último mes, ,✓, 
min_VAR5_sum_12M,Minimo valor de VAR5_sum en el último mes, ,✓, 
min_VAR3_sum_12M,Minimo valor de VAR3_sum en el último mes, ,✓, 
min_VAR25_sum_12M,Minimo valor de VAR25_sum en el último mes, ,✓, 
mean_VAR24_sum_12M,Media de VAR24_sum en el último mes, ,✓, 
min_VAR24_sum_12M,Minimo valor de VAR24_sum en el último mes, ,✓, 
mean_VAR16_sum_12M,Media de VAR16_sum en el último mes, ,✓, 
min_VAR16_sum_12M,Minimo valor de VAR16_sum en el último mes, ,✓, 
mean_VAR12_sum_12M,Media de VAR12_sum en el último mes, ,✓, 
min_VAR12_sum_12M,Minimo valor de VAR12_sum en el último mes, ,✓, 
min_VAR23_sum_18M,Minimo valor de VAR23_sum en el último mes, ,✓, 
min_VAR3_sum_18M,Minimo valor de VAR3_sum en el último mes, ,✓, 
mean_VAR24_sum_18M,Media de VAR24_sum en el último mes, ,✓, 
min_VAR24_sum_18M,Minimo valor de VAR24_sum en el último mes, ,✓, 
max_VAR24_sum_18M,Maximo valor de VAR24_sum en el último mes, ,✓, 
min_VAR16_sum_18M,Minimo valor de VAR16_sum en el último mes, , , 
mean_VAR12_sum_18M,Media de VAR12_sum en el último mes, , , 
min_VAR12_sum_18M,Minimo valor de VAR12_sum en el último mes, , , 
min_VAR3_sum_34M,Minimo valor de VAR3_sum en el último mes, , , 
mean_VAR24_sum_34M,Media de VAR24_sum en el último mes, , , 
min_VAR16_sum_34M,Minimo valor de VAR16_sum en el último mes, , , 
